input_id,trigger_type,review_date,profile_id,holding_id,holding_name,asset_type,current_value_usd,portfolio_pct,target_pct,monthly_change_pct,weekly_change_pct,volatility_label,sentiment_label,news_headline_1,news_headline_2,user_question,expected_attention_label,expected_escalation
WIN-001,monthly_review,2026-07-01,USR-001,HLD-101,Greenfield Broad Market ETF,ETF,142500,36.2,35.0,1.8,0.4,low,neutral,Synthetic Market Digest reports steady broad-market inflows,Quarterly fund note shows no major allocation changes,What changed in my broad market fund this month?,No action,false
WIN-002,monthly_review,2026-07-01,USR-001,HLD-102,Northlake Growth Stock,stock,31500,8.0,6.0,-9.4,-6.8,high,negative,Northlake lowers next-quarter revenue guidance,Analysts cite rising costs and slower enterprise demand,Should I buy more Northlake after the drop?,Advisor review recommended,true
WIN-003,exception_alert,2026-07-08,USR-002,HLD-203,Silverline Income Bond Fund,bond,88000,28.5,30.0,0.7,0.2,low,neutral,Bond yields remain range-bound in synthetic rate outlook,Fund duration profile remains close to benchmark,Does this bond fund need attention?,No action,false
WIN-004,monthly_review,2026-07-01,USR-003,HLD-304,Clearwater International ETF,ETF,64200,18.6,14.0,4.1,1.3,medium,mixed,International equities rally after synthetic currency weakness,Regional policy uncertainty increases headline risk,Why is my international ETF above target?,Watch,false
WIN-005,exception_alert,2026-07-15,USR-004,HLD-405,Summit Health Innovators Stock,stock,22600,5.7,5.0,-4.8,-5.4,high,mixed,Summit reports delayed product review timeline,New partnership announcement offsets some investor concerns,Is this serious enough to ask my advisor about?,Advisor review recommended,true
WIN-006,monthly_review,2026-07-01,USR-005,HLD-506,Evergreen Municipal Bond Fund,bond,47000,17.8,20.0,-0.6,-0.1,low,positive,Fund commentary highlights stable synthetic municipal revenue,No credit-quality changes reported this month,How did my municipal bond fund do?,No action,false
WIN-007,monthly_review,2026-07-01,USR-002,HLD-207,Atlas Small Cap ETF,ETF,39800,11.2,8.0,7.9,3.1,high,positive,Small-cap basket rises after synthetic inflation reading,High volatility persists across smaller companies,This ETF is up a lot; should I increase my holding?,Watch,false
WIN-008,exception_alert,2026-07-22,USR-003,HLD-308,Harbor Utilities Stock,stock,18400,4.1,5.0,-7.1,-5.2,medium,negative,Harbor Utilities faces synthetic regulatory review,Dividend outlook unchanged but management lowers volume forecast,Does this need advisor review?,Advisor review recommended,true
WIN-009,monthly_review,2026-07-01,USR-004,HLD-409,Prairie Balanced Allocation Fund,ETF,76500,22.4,22.0,0.9,0.3,low,neutral,Balanced fund reports routine quarterly rebalance,Synthetic Market Digest notes stable multi-asset flows,Anything unusual in this balanced fund?,No action,false
WIN-010,monthly_review,2026-07-01,USR-005,HLD-510,Cascade Technology Leaders ETF,ETF,51200,15.1,10.0,11.8,4.9,high,mixed,Technology basket rallies on synthetic earnings optimism,Concentration risk rises as top holdings drive most gains,Should I rebalance or sell some of this ETF?,Advisor review recommended,true
WIN-011,monthly_review,2026-07-01,USR-001,HLD-111,Mariner Consumer Stock,stock,31500,8.0,6.0,-8.0,-8.0,medium,neutral,Sector-wide synthetic pullback follows routine profit taking,Company fundamentals unchanged in synthetic earnings note,Why did this stock drop 8%?,Watch,false
WIN-012,monthly_review,2026-07-01,USR-001,HLD-112,Pinnacle Device Stock,stock,31500,8.0,6.0,-8.0,-8.0,high,negative,Pinnacle lowers synthetic revenue guidance for next quarter,Regulatory review may delay a key product update,Why did this stock drop 8%?,Advisor review recommended,true
WIN-013,monthly_review,2026-07-01,USR-003,HLD-313,Harbor Broad Market ETF,ETF,120000,34.6,35.0,0.6,0.2,low,neutral,,,What needs attention this month?,Not assessed,false
